Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2011,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO CARABANCHEL,,7.77,
2011,X11,"Deportes, juventud y esparcimiento",NUEVOS CIRCUITOS DEPORTIVOS PARA PERSONAS MAYORES EN EL ÁMBITO MADRID RIO,,952374.94,949624.78
2011,X11,"Deportes, juventud y esparcimiento","CAMPO DE FÚTBOL SAN MARTÍN DE PORRES, Pº. ERMITA DEL SANTO, S/N. CONSERVACIÓN",,126978.18,126978.18
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO IVÁN DE VARGAS, TRAVESÍA IVÁN DE VARGAS, 4. CONSERVACIÓN",,5262.44,5262.44
2011,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO MERCEDES ARTEAGA. OBRAS DE CONSERVACIÓN,,5008.67,5008.67
2011,X11,"Deportes, juventud y esparcimiento",POLIDEPORTIVO LA MINA. SUBSANACIÓN PATOLOGÍAS ESTRUCTURA PISCINA CUBIERTA,,786693.83,786693.83
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO JULIÁN GONZÁLEZ, C/ JULIÁN GONZÁLEZ, 4. OBRAS DE CONSERVACIÓN",,2777.22,2777.22
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO PIEDRAHITA, C/ PIEDRAHITA ( C/V REAL MADRID,36). CONSERVACIÓN",,2777.2,2777.2
2011,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO LA MINA, C/ MONSEÑOR OSCAR ROMERO, 41. OBRAS DE CONSERVACIÓN",,26187.49,26187.49
2011,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO CARONTE, C/ CARONTE, 4. OBRAS DE CONSERVACIÓN",,2463.59,2463.59
2011,X00,Inversiones de carácter general,,,82224.34,81932.09
2011,X00,Inversiones de carácter general,"EDIFICIO SEDE DISTRITO CARABANCHEL, PZ. DE CARABANCHEL, 1. OBRAS CONSERVACIÓN",,70743.48,70743.48
2011,X00,Inversiones de carácter general,EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS DISTRITO DE CARABANCHEL,,3769.0,3595.58
2011,X00,Inversiones de carácter general,"QUIOSCO C/ PEPIÓN, 2. ACTUACIONES DE ELIMINACIÓN DE RIESGOS",,7593.03,7593.03
2011,X00,Inversiones de carácter general,OBRAS CONSERVACIÓN EDIFICIOS DISTRITO CARABANCHEL,,118.83,
2011,X14,Sectores productivos,,,1322302.74,894501.62
2011,X14,Sectores productivos,REMODELACIÓN PARQUE EMPRESARIAL CARABANCHEL,,1322302.74,894501.62
2011,X06,Urbanismo,,,2514319.98,2066424.92
2011,X06,Urbanismo,POLÍGONO DE COOPERACIÓN C/SAN MELITÓN,,84141.69,
2011,X06,Urbanismo,"C/NUESTRA SEÑORA DE LA ANTIGUA, 42. URBANIZACIÓN",,894.94,
2011,X06,Urbanismo,POLÍGONO DE COOPERACIÓN CASCO HISTÓRICO CARABANCHEL ALTO,,21881.54,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO PARA CONEXIÓN CN-V Y CN-401. VIARIO,,26828.81,20573.29
2011,X06,Urbanismo,DERRIBO Y VALLADO MERCEDES ARTEAGA-JACINTO VERDAGUER A.P.I. 11.12,,133401.56,133401.56
2011,X06,Urbanismo,ADQUISICIÓN SUELO CAMINO ALTO DE SAN ISIDRO OESTE API 11.17,,68251.31,68251.31
2011,X06,Urbanismo,"C/ BELMONTE DE TAJO, 37. OBRAS DE URBANIZACIÓN",,43389.89,43389.07
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO EN EL PARQUE EMPERATRIZ MARÍA DE AUSTRIA,,46062.4,38430.98
2011,X06,Urbanismo,"CASCO HISTÓRICO CARABANCHEL ALTO, U.E.2 CALLEJÓN JOSÉ CABRERA. COOPERACIÓN",,297720.88,1876.84
2011,X06,Urbanismo,"C/ POLVORANCA Y C/ GUITARRA, 8. URBANIZACIÓN",,31086.84,
2011,X06,Urbanismo,ADQUISICIÓN DE SUELO C/EUGENIA DE MONTIJO C/V AVENIDA DE LOS POBLADOS,,1760501.87,1760501.87
2011,X06,Urbanismo,"C/PIEDRAHITA, 11 Y 13. OBRAS DE URBANIZACIÓN",,158.25,
2011,X05,Educación,,,679671.48,679490.0
2011,X05,Educación,CENTRO EDUCACIÓN ESPECIAL INMACULADA CONCEPCIÓN. ACONDICIONAMIENTO,,105276.24,105276.24
2011,X05,Educación,"COLEGIO PÚBLICO PERÚ, C/ BALEARES, 18. OBRAS DE CONSERVACIÓN",,11499.03,11499.03
2011,X05,Educación,"COLEGIO PÚBLICO LOPE DE VEGA, C/ INGLATERRA, 8. OBRAS DE CONSERVACIÓN",,15567.73,15567.73
2011,X05,Educación,"COLEGIO PÚBLICO ANTONIO MACHADO, C/ ALLARIZ, 3. OBRAS DE CONSERVACIÓN",,26646.21,26646.21
2011,X05,Educación,"COLEGIO PÚBLICO HAITÍ, C/ GUABAIRO, 22. OBRAS DE CONSERVACIÓN",,36776.47,36776.47
2011,X05,Educación,"EQUIPAMIENTO ESCUELA INFANTIL CARABANCHEL Nº 8,C/PATRIMONIO DE LA HUMANIDAD,31",,17791.12,17791.12
2011,X05,Educación,CENTRO DE EDUCACIÓN ESPECIAL INMACULADA CONCEPCIÓN. OBRAS DE CONSERVACIÓN,,4726.61,4726.61
2011,X05,Educación,"COLEGIO PÚBLICO ARCIPRESTE DE HITA, C/ ANTONIO MORENO, 25. CONSERVACIÓN",,342.58,342.58
2011,X05,Educación,"COLEGIO PÚBLICO SAN IGNACIO DE LOYOLA, AV.DE ABRANTES, 1.OBRAS DE CONSERVACIÓN",,161380.45,161380.45
2011,X05,Educación,"ESCUELA INFANTIL LAS AMAPOLAS, C/ ÓBOLO, 14. OBRAS DE CONSERVACIÓN",,1455.06,1455.06
2011,X05,Educación,"COLEGIO PÚBLICO JULIÁN BESTEIRO, AV. ABRANTES, 79. OBRAS DE CONSERVACIÓN",,247665.34,247665.34
2011,X05,Educación,"COLEGIO PÚBLICO PARQUE EUGENIA DE MONTIJO, C/ JACOBINA, 48. OBRAS CONSERVACIÓN",,816.55,816.55
2011,X05,Educación,"COLEGIO PÚBLICO ISAAC PERAL, PZ. RUFINO NOVALVOS, 5. OBRAS DE CONSERVACIÓN",,1182.91,1182.91
2011,X05,Educación,"COLEGIO PÚBLICO PINAR DE SAN JOSÉ, C/ PATRIMONIO HUMANIDAD, 39. CONSERVACIÓN",,12722.64,12722.64
2011,X05,Educación,ESCUELA INFANTIL CARABANCHEL Nº 8. OBRAS DE CONSERVACIÓN,,1793.65,1793.65
2011,X05,Educación,"COLEGIO PÚBLICO CAPITÁN CORTÉS, C/ MONSEÑOR OSCAR ROMERO, 17. CONSERVACIÓN",,3224.24,3224.24
2011,X05,Educación,"COLEGIO PÚBLICO CONCEPCIÓN ARENAL,C/ ANTONIO LÓPEZ, 1. OBRAS DE CONSERVACIÓN",,1464.17,1464.17
2011,X05,Educación,"COLEGIO PÚBLICO MIGUEL SERVET, C/ FRAGATA, 33. OBRAS DE CONSERVACIÓN",,7301.4,7301.4
2011,X05,Educación,OBRAS CONSERVACIÓN COLEGIOS PÚBLICOS DISTRITO CARABANCHEL,,181.48,
2011,X05,Educación,"COLEGIO PÚBLICO REPÚBLICA DE COLOMBIA, PZ. ALLOZ, 3. OBRAS DE CONSERVACIÓN",,13878.53,13878.53
2011,X05,Educación,"COLEGIO PÚBLICO REPÚBLICA DOMINICANA, RONDA DE DON BOSCO, 2. CONSERVACIÓN",,2198.84,2198.84
2011,X05,Educación,"COLEGIO PÚBLICO REPÚBLICA DE ECUADOR, C/ VALLE DE ORO, 41. CONSERVACIÓN",,5780.23,5780.23
2011,X04,Salud pública,,,26021.65,26021.65
2011,X04,Salud pública,"CENTRO DE PROTECCIÓN ANIMAL, CRTA.BARRIO DE LA FORTUNA, 33. OBRAS DE REFORMA",,26021.65,26021.65
2012,X03,Protección y promoción social,,,297670.22,239704.1
2012,X03,Protección y promoción social,"CENTRO DE MAYORES TIERNO GALVÁN, C/ CARRERO JUAN RAMÓN,24. CONSERVACIÓN",,16843.92,16843.92
2012,X03,Protección y promoción social,"CENTRO DE MAYORES ROGER DE FLOR, PZ. ROGER DE FLOR, 15.CONSERVACIÓN",,2162.24,2162.24
2012,X03,Protección y promoción social,"CENTRO GERIÁTRICO C/GENERAL RICAROS, 14. REFORMAS",,197878.41,139912.29
2012,X03,Protección y promoción social,"CENTRO DE DIA DE MAYORES AURORA VILLA, C/ MERCEDES ARTEAGA, 18. CONSERVACIÓN",,6376.57,6376.57
2012,X03,Protección y promoción social,CENTRO DE MAYORES MONSEÑOR OSCAR ROMERO. OBRAS DE CONSERVACIÓN,,4347.47,4347.47
2012,X03,Protección y promoción social,"CENTRO DE MAYORES SAN VICENTE DE PAÚL, C/ ANTONIA LANCHA, 54. CONSERVACIÓN",,1137.06,1137.06
2012,X03,Protección y promoción social,CENTRO DE DÍA DE MAYORES FRANCISCO DE GOYA. ACONDICIONAMIENTO,,49999.6,49999.6
2012,X03,Protección y promoción social,"CENTRO DE SERVICIOS SOCIALES ZAIDA, C/ ZAIDA, 36. OBRA DE CONSERVACIÓN",,8102.53,8102.53
2012,X03,Protección y promoción social,"CENTRO DE SERVICIOS SOCIALES PLAZA ELÍPTICA, C/ ANTONIO LEYVA, 86.CONSERVACIÓN",,4799.65,4799.65
2012,X03,Protección y promoción social,CENTRO DE DÍA DE ALZHEIMER LA MAGDALENA. OBRAS DE CONSERVACIÓN,,6022.77,6022.77
2012,X09,Medio ambiente,,,29418.04,29418.04
2012,X09,Medio ambiente,JARDINES DEL PUENTE DE TOLEDO,,29418.04,29418.04
2012,X08,Mantenimiento urbano,,,866240.94,866240.94
2012,X08,Mantenimiento urbano,ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. CARABANCHEL,,250266.3,250266.3
2012,X08,Mantenimiento urbano,RENOVACIÓN INTEGRAL INSTALACIONES Y PAVIMENTOS. PRIS Z-4 DTO. CARABANCHEL,,615974.64,615974.64
2012,X02,"Tráfico, estacionamiento y transporte público",,,244788.35,244788.35
2012,X02,"Tráfico, estacionamiento y transporte público",SEMÁFOROS E INTERSECCIONES URBANAS DISTRITO DE CARABANCHEL,,244788.35,244788.35
2012,X10,Cultura,,,622169.83,521509.61
2012,X10,Cultura,NUEVA BIBLIOTECA DE CARABANCHEL. EQUIPAMIENTO Y SEÑALÉTICA,,386506.91,346346.69
2012,X10,Cultura,CENTRO SOCIOCULTURAL GARCÍA LORCA. ACONDICIONAMIENTO,,49372.61,49372.61
2012,X10,Cultura,CENTRO CULTURAL BARRIO COMILLAS. INSTALACIÓN LÁMINAS PROTECCIÓN SOLAR,,1164.78,1164.78
2012,X10,Cultura,"CENTRO CULTURAL FERNANDO LÁZARO CARRETER, C/ VERDAD, 29. CONSERVACIÓN",,16599.31,16599.31
2012,X10,Cultura,CENTRO SOCIOCULTURAL BLASCO IBAÑEZ. OBRAS DE CONSERVACIÓN,,19264.35,19264.35
2012,X10,Cultura,"CENTRO SOCIOCULTURAL GARCÍA LORCA, C/ EUGENIA DE MONTIJO, 105. CONSERVACIÓN",,20816.34,20816.34
2012,X10,Cultura,"CENTRO SOCIOCULTURAL OPORTO, AV. OPORTO, 78. OBRAS DE CONSERVACIÓN",,59533.37,59533.37
2012,X10,Cultura,BIBLIOTECA C/PELLEJEROS C/V ANTONIO VICO. CONSTRUCCIÓN,,64954.24,4454.24
2012,X10,Cultura,CENTRO SOCIOCULTURAL CARABANCHEL ALTO. OBRAS DE CONSERVACIÓN,,3957.92,3957.92
2012,X11,"Deportes, juventud y esparcimiento",,,491477.0,491474.87
2012,X11,"Deportes, juventud y esparcimiento",DEPORTIVO BÁSICO VÍA LUSITANA. SUBSANACIÓN DEFICIENCIAS ELÉCTRICAS,,49998.98,49998.98
2012,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO PARQUE DE LAS CRUCES, AV. DE LOS POBLADOS, S/N. CONSERVACIÓN",,7174.95,7174.95
2012,X11,"Deportes, juventud y esparcimiento",POLIDEPORTIVO LA MINA. ADOPCIÓN MEDIDAS DE SEGURIDAD,,71294.84,71294.84
2012,X11,"Deportes, juventud y esparcimiento",OBRAS CONSERVACIÓN INSTALACIONES DEPORTIVAS DISTRITO CARABANCHEL,,2.13,
2012,X11,"Deportes, juventud y esparcimiento",NUEVOS CIRCUITOS DEPORTIVOS PARA PERSONAS MAYORES EN EL ÁMBITO MADRID RIO,,2043.03,2043.03
2012,X11,"Deportes, juventud y esparcimiento",POLIDEPORTIVO LA MINA. SUBSANACIÓN PATOLOGÍAS ESTRUCTURA PISCINA CUBIERTA,,247673.34,247673.34
2012,X11,"Deportes, juventud y esparcimiento",ADQUISICIÓN DE EQUIPAMIENTO POLIDEPORTIVO DE LA MINA,,465.79,465.79
2012,X11,"Deportes, juventud y esparcimiento","DEPORTIVO BÁSICO PARQUE COMILLAS, C/ ANTONIO DE LEYVA, 35. CONSERVACIÓN",,3074.83,3074.83
2012,X11,"Deportes, juventud y esparcimiento","POLIDEPORTIVO LA MINA, C/ MONSEÑOR OSCAR ROMERO, 41. ACONDICIONAMIENTO",,109749.11,109749.11
2012,X00,Inversiones de carácter general,,,28377.29,28371.81
2012,X00,Inversiones de carácter general,OBRAS CONSERVACIÓN DE EDIFICIOS DISTRITO CARABANCHEL,,5.48,
2012,X00,Inversiones de carácter general,"EDIFICIO SEDE DISTRITO CARABANCHEL, PZ. DE CARABANCHEL, 1. REFORMA PLANTA 1ª",,28371.81,28371.81
2012,X06,Urbanismo,,,4013499.92,2821778.5
2012,X06,Urbanismo,POLÍGONO DE COOPERACIÓN C/SAN MELITÓN,,84141.69,
2012,X06,Urbanismo,"DEMOLICIÓN EDIFICACIÓN C/ SALLABERRY, 30",,93614.11,93614.11
2012,X06,Urbanismo,ADQUISICIÓN SUELO CAMINO DE LOS INGENIEROS C/V. C/JUAN ALONSO,,323427.37,323427.37
2012,X06,Urbanismo,POLÍGONO DE COOPERACIÓN CASCO HISTÓRICO CARABANCHEL ALTO,,21881.54,
2012,X06,Urbanismo,ADQUISICIÓN DE SUELO PARA CONEXIÓN CN-V Y CN-401. VIARIO,,227.63,227.63
2012,X06,Urbanismo,"ADQUISICIÓN SUELO C/ PIEDRAHITA, 1",,1286862.03,1087658.08
2012,X06,Urbanismo,ADQUISICIÓN SUELO CAMINO ALTO DE SAN ISIDRO OESTE API 11.17,,218627.1,218583.49
2012,X06,Urbanismo,"DEMOLICIÓN EDIFICACIÓN C/ CARLOS DABAN, 1 Y 3",,134678.99,134678.99
2012,X06,Urbanismo,ADQUISICIÓN DE SUELO EN  C/ DOCTOR ZOFIO C/V CASTELFLORITO,,483165.29,483165.29
2012,X06,Urbanismo,"C/ TORDESILLAS, 23, 25 Y 27. OBRAS DE URBANIZACIÓN",,91200.0,
2012,X06,Urbanismo,ADQUISICIÓN DE SUELO EN EL PARQUE EMPERATRIZ MARÍA DE AUSTRIA,,469644.76,469644.76
2012,X06,Urbanismo,"CASCO HISTÓRICO CARABANCHEL ALTO, U.E.2 CALLEJÓN JOSÉ CABRERA. COOPERACIÓN",,295844.04,
2012,X06,Urbanismo,"C/ POLVORANCA Y C/ GUITARRA, 8. URBANIZACIÓN",,144747.81,
2012,X06,Urbanismo,ADQUISICIÓN DE SUELO C/EUGENIA DE MONTIJO C/V AVENIDA DE LOS POBLADOS,,10778.78,10778.78
2012,X06,Urbanismo,"C/PIEDRAHITA, 11 Y 13. OBRAS DE URBANIZACIÓN",,158.25,
2012,X06,Urbanismo,ADQUISICIÓN DE SUELO VÍA CARPETANA,,354500.53,
2012,X05,Educación,,,712155.13,711753.97
2012,X05,Educación,COLEGIO PÚBLICO ISAAC PERAL. RENOVACIÓN ASEOS DEL PABELLÓN PRINCIPAL,,54999.43,54999.43
2012,X05,Educación,CENTRO EDUCACIÓN ESPECIAL INMACULADA CONCEPCIÓN. ACONDICIONAMIENTO,,10422.09,10422.09
