cod_distrito,distrito,tasa_riesgo_pobreza_infantil
1.0,Centro,29.7
2.0,Arganzuela,13.5
3.0,Retiro,9.2
4.0,Salamanca,12.2
5.0,Chamartin,9.2
6.0,Tetuán,31.9
7.0,Chamberí,12.1
8.0,Fuencarral-El Pardo,11.7
9.0,Moncloa-Aravaca,12.5
10.0,Latina,32
11.0,Carabanchel,36.7
12.0,Usera,43.7
13.0,Puente de Vallecas,45.8
14.0,Moratalaz,25.8
15.0,Ciudad Lineal,24.2
16.0,Hortaleza,13.3
17.0,Villaverde,41.8
18.0,Villa de Vallecas,27.3
19.0,Vicálvaro,24.8
20.0,San Blas-Canillejas,24
21.0,Barajas,12
